file, batch_size, compile_opt_sec, memusg_compile_KiB, setup_opt_sec, memusg_setup_KiB, witness_opt_sec, memusg_witness_KiB, proof_opt_sec, memusg_proof_KiB, constr_opt
05_16, 5, 602, 14568004, 727, 8270212, 60, 7380048, 171, 23196084, 1656271
15_16, 15, 1976, 7380048, 2336, 25125960, 164, 22042128, 577, 69588092, 4856871
25_16, 25, 3656, 14637788, 3424, 40877596, 277, 36704420, 847, 115115388, 8057471
35_16, 35, 4805, 7393360, 5203, 58154380, 405, 51367176, 1343, 161771016, 11258071
